0#NO AUTHOR
1#William Shakespeare
2#Anonymous
3#Lucius Seneca
4#William Hope Hodgson
5#Mary King Waddington
6#Lindsay, Anna Robertson Brown
7#George Tucker
8#Giovanni Boccaccio
9#J. Sheridan LeFanu
10#Stewart Edward White and Samuel Hopkins Adams
11#S. H. Hammond
12#Dante Alighieri
13#William Hayley
14#Unknown
15#John Muir
16#Various
17#Edited by George Newnes
18#Ada Leverson
19#A. J. Bueltmann
20#Charles S. Brooks
21#F. J. Cross
22#Fannie  Hurst
23# Various
24#Harold Avery
25#Magnay, William
26#William F. Cody
27#Edgar Allan Poe
28#Edith Ferguson Black
29#Elizabeth Robins (C. E. Raimond)
30#Aphra Behn
31#Charles A. Lee
32#James Branch Cabell
33#E.R. Murray and Henrietta Brown Smith
34#Joseph Ladue
35#William Wood
36#H. Irving Hancock
37#John Buchan
38#Janet D. Wheeler
39#Margaret O. (Wilson) Oliphant
40#Hope, Anthony
41#Rev. E. J. Quigley
42#Edith Van Dyne
43#Thomas H. Huxley
44#Henry Francis Keenan
45#Elizabeth (Jones) Towne
46#Jeffery Farnol
47#James M. Beck
48#Max Brand
49#Burton Egbert Stevenson
50#Grace MacGowan Cooke
51#Joseph Planta, Esq. F. R. S.
52#Edward Eggleston
53#S. M. Edwardes, C.V.O.
54#Elizabeth Moxon
55#Creever & Bachelor
56#Venture Smith
57#Harold Bindloss
58#Douglas W. Johnson
59#Harriot Stanton Blatch
60#Robert L. Drake
61#John R. Watson
62#Anna Katharine Green
63#James Oliver Curwood
64#James Otis
65#Louise Forsslund
66#An Oxonian
67#Donald A. MacKenzie
68#Francesco Saverio Nitti
69#George MacDonald
70#Richard Garnett
71#Euripides
72#Edward Carpenter
73#W.T. Massey
74#Mrs. Humphry Ward
75#Bruce Sterling
76#John Nichol
77#Hudson, W. H.
78#William Le Queux
79#Editor-in-Chief
80#Hugh Dalton
81#John P. Marquand
82#Louis Tracy
83#Kate Dickinson Sweetser
84#John Fiske
85#Charles Kingsley
86#T. F. Thiselton-Dyer
87#Shelley
88#Edward Hutton
89#Robert Graves
90#Charles Lamb
91#Edwin Waugh
92#Bob Evans and Chris Dulabone
93#Charles Francis Horne
94#H. G. Wells
95#Charles and Mary Lamb
96#Henry Seton Merriman
97#Q
98#Dan B. Brummitt
99#Mrs. Isabella Beeton
100#George Tyrrell
101#by (AKA B. M. Sinclair) B. M. Bower
102#William Cullen Bryant
103#Johanna Spyri
104#Arnold Joseph Toynbee
105#Frank Moore
106#Thomas Herbert Russell
107#Howard Pyle
108#James Fenimore Cooper
109#Francis Parkman, Jr.
110#Bram Stoker
111#Walter Raleigh
112#Baruch Spinoza  [Benedict de Spinoza]
113#Selected and Edited with an Introduction by Ernest Bernbaum
114#Cassius Dio
115#C. Snouck Hurgronje
116#Nellie McClung
117#Percy Greg
118#Thomas F. A. Smith
119#(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell
120#Mark Twain (Samuel Clemens)
121#Amy Lowell
122#Zane Grey
123#Maria Mitchell
124#Vachel Lindsay
125#Randall Parrish
126#Lawrence J. Leslie
127#George W. Peck
128#Jackson Gregory
129#Thomas Taylor
130#Marietta Holley
131#Mary Hunter Austin
132#(Edited by William Knight)
133#Henry David Thoreau
134#Howard R. Garis
135#Nellie L. McClung
136#Mrs. J. B. Webb
137#Mary F. Nixon-Roulet
138#by Marshall Saunders
139#Charles Dickens
140#George Washington Cable
141#Robert Louis Stevenson and Lloyd Osbourne
142#Louis Berman, M.D.
143#Captain Quincy Allen
144#Carolyn Wells
145#Isaac Barrow
146#(AKA Charlotte Bronte) Currer Bell
147#Jack London
148#H.G. Wells
149#Horace Elisha Scudder, editor
150#Jules Verne
151#Arthur Sullivan
152#Michael Angelo Buonarroti & Tommaso Campanella
153#Percy Keese Fitzhugh
154#Alice Emerson
155#William Godwin
156#Henry James
157#Sophie May
158#Henry Milner Rideout
159#Jennie Maria (Drinkwater) Conklin
160#Edward Stratemeyer
161#Louis Joseph Vance
162#Walter R. Cassels
163#Laura Rountree Smith
164#Kate Douglas Wiggin
165#Emile Zola
166#G. Lowes Dickinson
167#Kate Douglas Smith Wiggin
168#David Garnett
169#Alexander Aaronsohn
170#Wilfred Owen
171#William O. Stoddard
172#Charles F. Horne, Editor
173#Fanny Trollope
174#Roger McGuinn
175#Edwin Arlington Robinson
176#Samuel Johnson
177#James Richardson
178#Boswell
179#Harry Leon Wilson
180#Henry Lawson
181#Louisa M. Alcott
182#Thomas Troward
183#Robert Valentine Dolbey
184#J. Fenimore Cooper
185#Mahatma Gandhi
186#Sir John Carr
187#Frank R. Stockton
188#John Yeardley
